"Rank","Player","Deck","Wins","Losses","List"
"234","John Cronin","Dimir Control","1","2","Deck
2 Essence Scatter
6 Island
2 Jwari Disruption
2 Alrund's Epiphany
2 Silundi Vision
4 Saw It Coming
4 Behold the Multiverse
4 Fabled Passage
4 Shark Typhoon
2 Bloodchief's Thirst
6 Swamp
2 Eliminate
3 Heartless Act
3 Valki, God of Lies
3 Extinction Event
4 Clearwater Pathway
1 Mountain
1 Cling to Dust
1 Raugrin Triome
2 Crawling Barrens
2 Castle Vantress

Sideboard
2 Disdainful Stroke
2 Negate
3 Mystical Dispute
3 Skyclave Shade
1 Bloodchief's Thirst
1 Eliminate
1 Extinction Event
2 Shadows' Verdict"
"235","Tania Russell","Sultai Ultimatum","1","2","Companion
1 Yorion, Sky Nomad

Deck
4 Forest
3 Swamp
3 Island
2 Negate
4 Cultivate
1 Temple of Mystery
3 Mystical Dispute
4 Fabled Passage
4 Omen of the Sea
4 Wolfwillow Haven
1 Kiora Bests the Sea God
3 Heartless Act
4 Emergent Ultimatum
4 Zagoth Triome
1 Ketria Triome
4 Clearwater Pathway
2 Sea Gate Restoration
4 Jwari Disruption
3 Shadows' Verdict
4 Barkchannel Pathway
1 Blightstep Pathway
4 Darkbore Pathway
4 Binding the Old Gods
1 Vorinclex, Monstrous Raider
2 Valki, God of Lies
2 Alrund's Epiphany
4 Behold the Multiverse

Sideboard
3 Duress
1 Negate
1 Mystical Dispute
1 Cling to Dust
2 Polukranos, Unchained
1 Heartless Act
1 Yorion, Sky Nomad
1 Eliminate
1 Mazemind Tome
1 Shadows' Verdict
1 Koma, Cosmos Serpent
1 Crippling Fear"
"236","samsoni1","Rakdos Sacrifice","1","2","Deck
2 Castle Locthwain
4 Village Rites
2 Heartless Act
2 Skyclave Shade
2 Valki, God of Lies
4 Woe Strider
2 Rankle, Master of Pranks
4 Claim the Firstborn
3 Bonecrusher Giant
2 The Akroan War
2 Goldspan Dragon
4 Shatterskull Smashing
4 Blightstep Pathway
2 Savai Triome
4 Fabled Passage
1 Shredded Sails
1 Bloodchief's Thirst
3 Kroxa, Titan of Death's Hunger
2 Tymaret Calls the Dead
6 Swamp
4 Mountain

Sideboard
2 Duress
1 Agonizing Remorse
2 Soul Shatter
4 Robber of the Rich
1 Liliana, Waker of the Dead
2 Ox of Agonas
1 Skyclave Shade
1 Shredded Sails
1 The Akroan War"
"237","Jonathan Lobo Melamed","Dimir Rogues","1","2","Companion
1 Lurrus of the Dream-Den

Deck
1 Essence Scatter
4 Soaring Thought-Thief
4 Thieves' Guild Enforcer
1 Lullmage's Domination
2 Agadeem's Awakening
2 Bloodchief's Thirst
4 Drown in the Loch
3 Heartless Act
4 Into the Story
4 Clearwater Pathway
3 Island
3 Swamp
4 Temple of Deceit
4 Ruin Crab
2 Valki, God of Lies
3 Merfolk Windrobber
4 Fabled Passage
2 Zagoth Triome
2 Of One Mind
1 Didn't Say Please
2 Riverglide Pathway
1 Blightstep Pathway

Sideboard
2 Disdainful Stroke
3 Skyclave Shade
2 Cling to Dust
1 Lullmage's Domination
3 Mystical Dispute
1 Lurrus of the Dream-Den
2 Crippling Fear
1 Bloodchief's Thirst"
"238","Nils Westgardh","Mono-White Aggro","0","3","Deck
4 Alseid of Life's Bounty
2 Giant Killer
3 Halvar, God of Battle
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
3 Usher of the Fallen
4 Maul of the Skyclaves
4 Faceless Haven
18 Snow-Covered Plains
2 Reidane, God of the Worthy
2 Sentinel's Eyes
1 Archon of Absolution
1 Castle Ardenvale

Sideboard
3 Drannith Magistrate
3 Archon of Absolution
2 Soul-Guide Lantern
4 Glass Casket
1 Reidane, God of the Worthy
2 Giant Killer"
"239","ruuchu #02327","Boros Aggro","0","3","Deck
4 Bonecrusher Giant
2 Embercleave
2 Emeria's Call
2 Giant Killer
2 Goldspan Dragon
4 Luminarch Aspirant
2 Maul of the Skyclaves
7 Mountain
4 Needleverge Pathway
7 Plains
4 Seasoned Hallowblade
4 Selfless Savior
2 Shatterskull Smashing
4 Shepherd of the Flock
4 Showdown of the Skalds
2 Temple of Triumph
4 Usher of the Fallen

Sideboard
2 Baneslayer Angel
1 Elspeth, Sun's Nemesis
3 Fight as One
2 Giant Killer
3 Glass Casket
1 Mythos of Vadrok
1 Ox of Agonas
2 Reidane, God of the Worthy"
"240","ToKsiK_tv","Gruul Adventures","0","3","Deck
4 Bonecrusher Giant
2 Questing Beast
4 Brushfire Elemental
4 Edgewall Innkeeper
4 Goldspan Dragon
4 Lovestruck Beast
4 Rimrock Knight
3 Unleash Fury
3 Kazandu Mammoth
3 Embercleave
3 Snakeskin Veil
4 Cragcrown Pathway
4 Fabled Passage
8 Mountain
6 Forest

Sideboard
1 Toski, Bearer of Secrets
3 Fire Prophecy
3 Roiling Vortex
2 Soul Sear
2 Heroic Intervention
2 Scavenging Ooze
2 Thrashing Brontodon"
"241","Nicholas Paquette","Mono-Red Aggro","0","3","Deck
4 Anax, Hardened in the Forge
4 Bonecrusher Giant
2 Castle Embereth
3 Embercleave
4 Faceless Haven
4 Fervent Champion
4 Fireblade Charger
3 Goldspan Dragon
1 Phoenix of Ash
3 Rimrock Knight
4 Robber of the Rich
18 Snow-Covered Mountain
2 Torbran, Thane of Red Fell
1 Shatterskull Smashing
3 Frost Bite

Sideboard
2 Ox of Agonas
2 Phoenix of Ash
2 Opportunistic Dragon
2 Scorching Dragonfire
2 Soul Sear
1 Shredded Sails
2 The Akroan War
1 Embercleave
1 Dragonkin Berserker"
"242","Owen Huisman","Boros Aggro","0","3","Deck
4 Youthful Valkyrie
4 Righteous Valkyrie
1 Legion Angel
4 Showdown of the Skalds
4 Luminarch Aspirant
3 Skyclave Apparition
4 Frost Bite
4 Starnheim Unleashed
4 Speaker of the Heavens
2 Halvar, God of Battle
1 Shadowspear
4 Needleverge Pathway
3 Faceless Haven
12 Snow-Covered Plains
6 Snow-Covered Mountain

Sideboard
3 Legion Angel
4 Roiling Vortex
1 Skyclave Apparition
2 Reidane, God of the Worthy
2 Phoenix of Ash
1 Elspeth, Sun's Nemesis
2 Baneslayer Angel"
"243","Brandon Cartlidge","Sultai Ultimatum","0","3","Companion
1 Yorion, Sky Nomad

Deck
1 Burning-Rune Demon
1 Valki, God of Lies
1 Vorinclex, Monstrous Raider
2 Alrund's Epiphany
1 Bala Ged Recovery
4 Cultivate
4 Emergent Ultimatum
2 Extinction Event
2 Migration Path
1 Shark Typhoon
2 Shadows' Verdict
1 Soul Shatter
2 Eliminate
4 Heartless Act
3 Bloodchief's Thirst
1 Blood on the Snow
2 Mazemind Tome
4 Binding the Old Gods
2 Elspeth's Nightmare
1 Kiora Bests the Sea God
4 Omen of the Sea
4 Barkchannel Pathway
1 Castle Locthwain
4 Clearwater Pathway
1 Cragcrown Pathway
4 Darkbore Pathway
4 Fabled Passage
4 Snow-Covered Forest
3 Snow-Covered Island
1 Ketria Triome
4 Snow-Covered Swamp
4 Zagoth Triome
1 Koma, Cosmos Serpent

Sideboard
1 Cling to Dust
3 Negate
1 Shadows' Verdict
3 Duress
1 Blood on the Snow
3 Mystical Dispute
2 Disdainful Stroke
1 Yorion, Sky Nomad"
"244","Thomas Raer","Sultai Ultimatum","0","3","Companion
1 Yorion, Sky Nomad

Deck
4 Barkchannel Pathway
4 Omen of the Sea
2 Sea Gate Restoration
2 Shark Typhoon
3 Forest
4 Zagoth Triome
2 Alrund's Epiphany
4 Cultivate
4 Binding the Old Gods
4 Darkbore Pathway
4 Fabled Passage
3 Mazemind Tome
2 Shadows' Verdict
2 Valki, God of Lies
1 Esika's Chariot
1 Vorinclex, Monstrous Raider
1 Kiora Bests the Sea God
1 Erebos's Intervention
4 Jwari Disruption
3 Swamp
4 Heartless Act
4 Clearwater Pathway
2 Extinction Event
2 Ketria Triome
4 Emergent Ultimatum
3 Elspeth's Nightmare
1 Eliminate
2 Island
1 Negate
1 Disdainful Stroke
1 Soul Shatter

Sideboard
2 Bloodchief's Thirst
1 Cling to Dust
1 Erebos's Intervention
3 Duress
1 Yorion, Sky Nomad
2 Shark Typhoon
2 Negate
2 Koma, Cosmos Serpent
1 Shadows' Verdict"
"245","Emanz87","Sultai Ultimatum","0","3","Companion
1 Yorion, Sky Nomad

Deck
1 Vorinclex, Monstrous Raider
2 Valki, God of Lies
4 Eliminate
4 Wolfwillow Haven
4 Jwari Disruption
4 Heartless Act
2 Sea Gate Restoration
4 Extinction Event
2 Alrund's Epiphany
2 Shadows' Verdict
4 Cultivate
4 Emergent Ultimatum
1 Kiora Bests the Sea God
1 Shark Typhoon
3 Elspeth's Nightmare
4 Binding the Old Gods
4 Omen of the Sea
1 Ketria Triome
3 Fabled Passage
3 Swamp
4 Forest
4 Darkbore Pathway
3 Island
4 Zagoth Triome
4 Barkchannel Pathway
4 Clearwater Pathway

Sideboard
1 Shadows' Verdict
1 Yorion, Sky Nomad
2 Cling to Dust
2 Koma, Cosmos Serpent
3 Duress
4 Mystical Dispute
2 Negate"
"246","Flushdonkey","Sultai Ultimatum","0","3","Companion
1 Yorion, Sky Nomad

Deck
3 Alrund's Epiphany
4 Barkchannel Pathway
4 Binding the Old Gods
4 Clearwater Pathway
4 Cultivate
4 Darkbore Pathway
3 Eliminate
3 Elspeth's Nightmare
4 Emergent Ultimatum
2 Migration Path
2 Extinction Event
3 Fabled Passage
4 Forest
4 Heartless Act
2 Island
1 Ketria Triome
2 Kiora Bests the Sea God
2 Mazemind Tome
4 Omen of the Sea
2 Sea Gate Restoration
3 Shadows' Verdict
2 Shark Typhoon
4 Swamp
2 Tangled Florahedron
2 Valki, God of Lies
1 Vorinclex, Monstrous Raider
4 Zagoth Triome
1 Burning-Rune Demon

Sideboard
1 Ugin, the Spirit Dragon
3 Necromentia
2 Koma, Cosmos Serpent
2 Mystical Dispute
3 Negate
1 Shadows' Verdict
2 Toski, Bearer of Secrets
1 Yorion, Sky Nomad"
"247","Dominick Paolercio","Dimir Rogues","1","1","Companion
1 Lurrus of the Dream-Den

Deck
3 Agadeem's Awakening
3 Lullmage's Domination
4 Ruin Crab
4 Fabled Passage
2 Zagoth Triome
4 Temple of Deceit
3 Swamp
4 Soaring Thought-Thief
2 Of One Mind
1 Negate
3 Merfolk Windrobber
4 Thieves' Guild Enforcer
5 Island
2 Heartless Act
2 Bloodchief's Thirst
4 Clearwater Pathway
1 Didn't Say Please
4 Drown in the Loch
4 Into the Story
1 Essence Scatter

Sideboard
2 Negate
3 Mystical Dispute
1 Extinction Event
2 Heartless Act
2 Cling to Dust
1 Lurrus of the Dream-Den
1 Bloodchief's Thirst
3 Crippling Fear"
"248","Cayden Taylor","Naya Fury","1","1","Deck
4 Needleverge Pathway
4 Lovestruck Beast
4 Sejiri Shelter
4 Unleash Fury
2 Forest
3 Fabled Passage
4 Bonecrusher Giant
2 Mountain
4 Kazuul's Fury
4 Showdown of the Skalds
4 Giant Killer
1 Plains
4 Goldspan Dragon
4 Edgewall Innkeeper
4 Cragcrown Pathway
4 Branchloft Pathway
4 Shepherd of the Flock

Sideboard
1 Archon of Absolution
2 Redcap Melee
2 Phoenix of Ash
4 Fire Prophecy
2 Roiling Vortex
1 Ox of Agonas
2 The Akroan War
1 Embereth Shieldbreaker"
"249","Sanchez5272","Sultai Ultimatum","1","1","Companion
1 Yorion, Sky Nomad

Deck
2 Behold the Multiverse
1 Blightstep Pathway
2 Sea Gate Restoration
1 Shark Typhoon
3 Swamp
2 Wolfwillow Haven
4 Zagoth Triome
1 Alrund's Epiphany
4 Barkchannel Pathway
4 Cultivate
4 Omen of the Sea
4 Darkbore Pathway
2 Esika's Chariot
4 Fabled Passage
1 Koma, Cosmos Serpent
3 Shadows' Verdict
2 Valki, God of Lies
1 Polukranos, Unchained
2 Negate
1 Kiora Bests the Sea God
1 Extinction Event
4 Binding the Old Gods
4 Clearwater Pathway
1 Cragcrown Pathway
1 Eliminate
4 Emergent Ultimatum
2 Essence Scatter
2 Elspeth's Nightmare
4 Forest
2 Jwari Disruption
1 Ketria Triome
1 Vorinclex, Monstrous Raider
2 Island
3 Heartless Act

Sideboard
2 Mystical Dispute
1 Elspeth's Nightmare
3 Duress
1 Elder Gargaroth
1 Yorion, Sky Nomad
1 Disdainful Stroke
1 Cling to Dust
1 Shadows' Verdict
2 Behold the Multiverse
1 Chainweb Aracnir
1 Negate"
"250","Erin Diaz","Mono-White Aggro","0","2","Deck
20 Snow-Covered Plains
2 Alseid of Life's Bounty
4 Selfless Savior
4 Luminarch Aspirant
4 Seasoned Hallowblade
1 Usher of the Fallen
4 Faceless Haven
2 Maul of the Skyclaves
3 Halvar, God of Battle
4 Giant Killer
2 Lurrus of the Dream-Den
4 Skyclave Apparition
3 Reidane, God of the Worthy
1 Legion Angel
1 Sentinel's Eyes
1 Glass Casket

Sideboard
1 Reidane, God of the Worthy
2 Usher of the Fallen
3 Glass Casket
1 Sentinel's Eyes
1 Lurrus of the Dream-Den
2 Drannith Magistrate
2 Clarion Spirit
3 Legion Angel"
"251","Matthew Vaughn","Izzet Tempo","0","2","Deck
4 Bonecrusher Giant
4 Snow-Covered Mountain
4 Brazen Borrower
8 Snow-Covered Island
3 Goldspan Dragon
4 Frost Bite
2 Disdainful Stroke
2 Essence Scatter
2 Negate
2 Shatterskull Smashing
4 Mystical Dispute
4 Behold the Multiverse
4 Shark Typhoon
4 Fabled Passage
1 Faceless Haven
4 Riverglide Pathway
3 Volatile Fjord
1 Gadwick, the Wizened

Sideboard
2 Cinderclasm
1 Disdainful Stroke
2 Negate
2 Scorching Dragonfire
3 Soul Sear
2 The Akroan War
3 Ox of Agonas"
"252","Martin  Del Güercio","Four-color Ramp","0","2","Companion
1 Yorion, Sky Nomad

Deck
3 Yorion, Sky Nomad
4 Omen of the Sea
3 Omen of the Sun
2 Archon of Sun's Grace
4 Heartless Act
1 Golden Egg
3 Extinction Event
2 Dance of the Manse
2 Treacherous Blessing
3 Elspeth's Nightmare
4 Doom Foretold
2 Swamp
2 Plains
2 Island
4 Fabled Passage
2 The Raven's Warning
1 Forest
4 Clearwater Pathway
4 Brightclimb Pathway
3 Eliminate
4 Hengegate Pathway
4 Zagoth Triome
2 Negate
4 Binding the Old Gods
3 Indatha Triome
2 Branchloft Pathway
2 Barkchannel Pathway
2 Emeria's Call
1 Shadows' Verdict
1 Ashiok, Nightmare Muse

Sideboard
1 Yorion, Sky Nomad
1 Dance of the Manse
2 Mystical Dispute
1 Shadows' Verdict
2 Cling to Dust
3 Glass Casket
2 Disdainful Stroke
2 Negate
1 Chainweb Aracnir"
"253","Yann Rabay","Mono-White Aggro","0","2","Deck
3 Alseid of Life's Bounty
3 Giant Killer
3 Halvar, God of Battle
4 Luminarch Aspirant
4 Seasoned Hallowblade
4 Selfless Savior
4 Skyclave Apparition
3 Usher of the Fallen
4 Maul of the Skyclaves
4 Faceless Haven
18 Snow-Covered Plains
2 Reidane, God of the Worthy
1 Sentinel's Eyes
1 Legion Angel
1 Castle Ardenvale
1 Sigrid, God-Favored

Sideboard
2 Drannith Magistrate
2 Legion Angel
2 Soul-Guide Lantern
3 Glass Casket
1 Reidane, God of the Worthy
1 Giant Killer
2 Baneslayer Angel
1 Archon of Absolution
1 Funeral Longboat"
"254","Chris Heitkamp","Gruul Adventures","0","2","Deck
4 Bonecrusher Giant
4 Brushfire Elemental
4 Cragcrown Pathway
4 Edgewall Innkeeper
4 Embercleave
4 Fabled Passage
8 Forest
4 Goldspan Dragon
4 Kazandu Mammoth
4 Lovestruck Beast
5 Mountain
2 Questing Beast
2 Scavenging Ooze
4 Shatterskull Smashing
2 Snakeskin Veil
1 The Great Henge

Sideboard
2 Klothys, God of Destiny
2 Ox of Agonas
2 Scorching Dragonfire
2 Phoenix of Ash
2 Soul Sear
1 The Great Henge
2 Wilt
2 Fire Prophecy"
"255","Will Pulliam","Four-color Cycling","0","2","Deck
3 Rielle, the Everwise
4 Drannith Stinger
4 Flourishing Fox
4 Valiant Rescuer
4 Boon of the Wish-Giver
4 Go for Blood
4 Memory Leak
4 Startling Development
4 Zenith Flare
3 Improbable Alliance
1 Clearwater Pathway
1 Brightclimb Pathway
4 Hengegate Pathway
4 Needleverge Pathway
4 Raugrin Triome
4 Riverglide Pathway
2 Frostveil Ambush
1 Shredded Sails
1 Plains

Sideboard
4 Irencrag Pyromancer
3 Mystical Dispute
1 Negate
2 Redcap Melee
1 Shredded Sails
2 Soul-Guide Lantern
2 Archon of Absolution"
"256","Matt Hollander","Gruul Adventures","0","2","Deck
4 Bonecrusher Giant
4 Brushfire Elemental
4 Cragcrown Pathway
4 Edgewall Innkeeper
3 Embercleave
4 Fabled Passage
2 Scorching Dragonfire
8 Forest
3 Goldspan Dragon
4 Kazandu Mammoth
4 Lovestruck Beast
4 Mountain
3 Questing Beast
1 Gallia of the Endless Dance
4 Shatterskull Smashing
2 Phoenix of Ash
2 Robber of the Rich

Sideboard
2 Scorching Dragonfire
2 Klothys, God of Destiny
1 Ox of Agonas
1 Robber of the Rich
2 The Akroan War
1 Gallia of the Endless Dance
2 Soul Sear
2 The Great Henge
2 Masked Vandal"
"257","Josh Yukawa","Sultai Ultimatum","0","2","Companion
1 Yorion, Sky Nomad

Deck
4 Omen of the Sea
3 Valki, God of Lies
1 Eliminate
4 Heartless Act
2 Mazemind Tome
2 Elspeth's Nightmare
4 Cultivate
4 Binding the Old Gods
3 Shadows' Verdict
4 Emergent Ultimatum
1 Vorinclex, Monstrous Raider
2 Alrund's Epiphany
1 Kiora Bests the Sea God
1 Extinction Event
4 Zagoth Triome
2 Ketria Triome
4 Barkchannel Pathway
4 Darkbore Pathway
4 Clearwater Pathway
3 Sea Gate Restoration
1 Negate
3 Forest
1 Bala Ged Recovery
3 Jwari Disruption
2 Shark Typhoon
3 Fabled Passage
2 Island
1 Erebos's Intervention
3 Wolfwillow Haven
4 Swamp

Sideboard
1 Yorion, Sky Nomad
4 Duress
3 Mystical Dispute
2 Polukranos, Unchained
1 Erebos's Intervention
2 Extinction Event
1 Scavenging Ooze
1 Massacre Wurm"
"258","joaoclaudioms","Mono-Green Food","0","2","Deck
2 Scavenging Ooze
16 Snow-Covered Forest
4 Gilded Goose
4 Kazandu Mammoth
3 The Great Henge
3 Castle Garenbrig
2 Gingerbread Cabin
3 Faceless Haven
2 Swarm Shambler
4 Gemrazer
4 Lovestruck Beast
2 Feasting Troll King
2 Vivien, Monsters' Advocate
4 Wicked Wolf
3 Trail of Crumbs
2 Old-Growth Troll

Sideboard
2 Wilt
1 Vivien, Monsters' Advocate
3 Chainweb Aracnir
2 Elder Gargaroth
2 Ram Through
3 Garruk's Harbinger
2 Scavenging Ooze"
"259","YeggyBombs","Naya Fury","0","2","Deck
2 Mountain
3 Fabled Passage
4 Sejiri Shelter
2 Plains
3 Unleash Fury
4 Needleverge Pathway
4 Bonecrusher Giant
4 Lovestruck Beast
4 Kazuul's Fury
4 Showdown of the Skalds
4 Giant Killer
1 Forest
4 Goldspan Dragon
4 Edgewall Innkeeper
4 Cragcrown Pathway
4 Branchloft Pathway
3 Shepherd of the Flock
2 The Akroan War

Sideboard
3 Archon of Absolution
1 Embereth Shieldbreaker
2 Ox of Agonas
1 Klothys, God of Destiny
3 Fire Prophecy
2 Roiling Vortex
2 Redcap Melee
1 Phoenix of Ash"
"260","Mattia Rizzi","Temur Adventures (Obosh)","0","2","Companion
1 Obosh, the Preypiercer

Deck
4 Saw It Coming
4 Ketria Triome
4 Riverglide Pathway
2 Mountain
4 Bonecrusher Giant
4 Lovestruck Beast
2 Island
4 Alrund's Epiphany
4 Cragcrown Pathway
2 Forest
4 Brazen Borrower
4 Edgewall Innkeeper
4 Goldspan Dragon
4 Barkchannel Pathway
4 Fabled Passage
2 Kazandu Mammoth
2 Spikefield Hazard
1 The Great Henge
1 Vivien, Monsters' Advocate

Sideboard
4 Fire Prophecy
2 Soul Sear
1 Obosh, the Preypiercer
2 Negate
2 Klothys, God of Destiny
2 Broken Wings
2 Disdainful Stroke"
"261","Jeffrey Pike","Gruul Adventures","0","2","Deck
2 Arni Brokenbrow
3 Questing Beast
4 Bonecrusher Giant
4 Brushfire Elemental
4 Edgewall Innkeeper
4 Kazandu Mammoth
4 Lovestruck Beast
2 Fire Prophecy
4 Shatterskull Smashing
1 The Akroan War
2 The Great Henge
4 Embercleave
8 Forest
4 Mountain
4 Cragcrown Pathway
4 Fabled Passage
2 Scavenging Ooze

Sideboard
2 Wilt
3 Soul Sear
1 Ox of Agonas
1 Fire Prophecy
1 The Akroan War
2 Klothys, God of Destiny
2 Garruk, Unleashed
1 Scorching Dragonfire
2 Vivien, Monsters' Advocate"
"262","SHOGO KONDO","Jund Sacrifice","0","2","Deck
4 Bonecrusher Giant
2 Immersturm Predator
3 Korvold, Fae-Cursed King
2 Kroxa, Titan of Death's Hunger
4 Skyclave Shade
3 Valki, God of Lies
4 Woe Strider
4 Claim the Firstborn
2 Kazuul's Fury
4 Village Rites
2 The Akroan War
4 Blightstep Pathway
4 Cragcrown Pathway
4 Darkbore Pathway
4 Fabled Passage
1 Forest
2 Mountain
3 Swamp
2 Temple of Malice
2 Rankle, Master of Pranks

Sideboard
1 The Akroan War
3 Roiling Vortex
1 Elspeth's Nightmare
1 Eliminate
2 Heartless Act
2 Nissa of Shadowed Boughs
2 Klothys, God of Destiny
2 Ox of Agonas
1 Toski, Bearer of Secrets"
"263","Jahn Brüggemann","Sultai Ultimatum","0","2","Companion
1 Yorion, Sky Nomad

Deck
4 Forest
3 Swamp
3 Island
2 Negate
4 Cultivate
1 Temple of Mystery
2 Mystical Dispute
4 Fabled Passage
4 Omen of the Sea
4 Wolfwillow Haven
1 Kiora Bests the Sea God
3 Heartless Act
4 Emergent Ultimatum
4 Zagoth Triome
1 Ketria Triome
4 Clearwater Pathway
2 Sea Gate Restoration
4 Jwari Disruption
3 Shadows' Verdict
4 Barkchannel Pathway
1 Blightstep Pathway
4 Darkbore Pathway
4 Binding the Old Gods
1 Vorinclex, Monstrous Raider
2 Valki, God of Lies
2 Alrund's Epiphany
4 Behold the Multiverse
1 Erebos's Intervention

Sideboard
3 Duress
1 Negate
1 Mystical Dispute
1 Cling to Dust
2 Polukranos, Unchained
1 Heartless Act
1 Yorion, Sky Nomad
1 Eliminate
1 Mazemind Tome
1 Shadows' Verdict
1 Koma, Cosmos Serpent
1 Crippling Fear"
"264","Massimo Greco","Mono-Red Aggro","0","2","Deck
4 Anax, Hardened in the Forge
4 Bonecrusher Giant
2 Castle Embereth
4 Embercleave
4 Faceless Haven
4 Fervent Champion
4 Fireblade Charger
3 Frost Bite
2 Goldspan Dragon
3 Rimrock Knight
4 Robber of the Rich
19 Snow-Covered Mountain
2 Torbran, Thane of Red Fell
1 Soul Sear

Sideboard
3 Roiling Vortex
2 Phoenix of Ash
1 Shredded Sails
2 Soul Sear
3 The Akroan War
3 Redcap Melee
1 Soul-Guide Lantern"
"265","Lukas Dusek","Dimir Control","0","2","Companion
1 Yorion, Sky Nomad

Deck
1 Lochmere Serpent
2 Midnight Clock
1 Island
3 Valki, God of Lies
4 Hagra Mauling
2 Temple of Epiphany
4 Temple of Deceit
4 Blightstep Pathway
4 Crawling Barrens
4 Heartless Act
4 Shadows' Verdict
4 Shark Typhoon
4 Jwari Disruption
4 Elspeth's Nightmare
2 Extinction Event
4 Eliminate
2 Negate
2 Temple of Malice
4 Neutralize
2 Essence Scatter
4 Clearwater Pathway
4 Riverglide Pathway
2 Ugin, the Spirit Dragon
4 Mazemind Tome
2 Zagoth Triome
2 Bloodchief's Thirst
1 Swamp

Sideboard
2 Cling to Dust
1 Yorion, Sky Nomad
4 Disdainful Stroke
4 Mystical Dispute
2 Negate
2 Extinction Event"
"266","Luigi Lavermicocca","Dimir Rogues","0","2","Companion
1 Lurrus of the Dream-Den

Deck
3 Agadeem's Awakening
2 Bloodchief's Thirst
4 Clearwater Pathway
1 Didn't Say Please
4 Drown in the Loch
1 Essence Scatter
4 Fabled Passage
2 Heartless Act
4 Into the Story
5 Island
2 Lullmage's Domination
4 Merfolk Windrobber
3 Of One Mind
4 Ruin Crab
4 Soaring Thought-Thief
3 Swamp
4 Temple of Deceit
4 Thieves' Guild Enforcer
2 Zagoth Triome

Sideboard
2 Bloodchief's Thirst
2 Dead Weight
1 Lullmage's Domination
1 Lurrus of the Dream-Den
2 Mystical Dispute
4 Negate
3 Skyclave Shade"
"267","Mikail Nogueira","Esper Doom Foretold","0","2","Deck
2 Island
2 Swamp
4 Fabled Passage
2 Plains
2 Gates of Istfell
4 Hengegate Pathway
4 Brightclimb Pathway
4 Clearwater Pathway
4 Heartless Act
4 Omen of the Sea
2 Glass Casket
1 Negate
2 Eliminate
2 Omen of the Sun
2 Dance of the Manse
4 Elspeth's Nightmare
2 Archon of Sun's Grace
3 Extinction Event
4 Doom Foretold
2 Elspeth Conquers Death
2 Yorion, Sky Nomad
2 Emeria's Call

Sideboard
1 Cling to Dust
2 Disdainful Stroke
2 Negate
2 Treacherous Blessing
2 Mystical Dispute
1 Soul Shatter
1 Extinction Event
1 Shadows' Verdict
3 Shark Typhoon"
"268","Roman Fusco","Sultai Control","0","2","Companion
1 Yorion, Sky Nomad

Deck
4 Extinction Event
4 Binding the Old Gods
4 Omen of the Sea
4 Mazemind Tome
4 Heartless Act
3 Elspeth's Nightmare
2 Shadows' Verdict
4 Saw It Coming
2 Negate
1 Disdainful Stroke
1 Eliminate
2 Bloodchief's Thirst
1 Koma, Cosmos Serpent
1 Ugin, the Spirit Dragon
3 Shark Typhoon
1 Yorion, Sky Nomad
1 Ashiok, Nightmare Muse
1 Cling to Dust
2 Castle Vantress
1 Temple of Mystery
4 Temple of Deceit
4 Zagoth Triome
4 Fabled Passage
4 Darkbore Pathway
4 Barkchannel Pathway
1 Field of Ruin
4 Clearwater Pathway
3 Island
5 Swamp
1 Forest

Sideboard
1 Yorion, Sky Nomad
3 Mystical Dispute
2 Duress
1 Agonizing Remorse
2 Pestilent Haze
2 Elder Gargaroth
2 Epic Downfall
1 Koma, Cosmos Serpent
1 Disdainful Stroke"
"269","Bolun Zhang","Esper Doom Foretold","0","1","Companion
1 Yorion, Sky Nomad

Deck
4 Atris, Oracle of Half-Truths
2 Negate
4 Temple of Deceit
4 Brightclimb Pathway
3 Yorion, Sky Nomad
4 Hengegate Pathway
2 Field of Ruin
3 Heartless Act
1 Disdainful Stroke
3 Extinction Event
4 Emeria's Call
1 Island
3 Elspeth Conquers Death
4 Doom Foretold
3 Plains
3 Omen of the Sun
4 Clearwater Pathway
4 Temple of Silence
3 Crippling Fear
3 Elspeth's Nightmare
4 The Birth of Meletis
4 Omen of the Sea
3 Skyclave Apparition
1 Jwari Disruption
2 Swamp
2 Confounding Conundrum
1 Indatha Triome
1 Zagoth Triome

Sideboard
1 Yorion, Sky Nomad
1 Extinction Event
4 Archon of Absolution
4 Duress
1 Crippling Fear
2 Mazemind Tome
2 Agonizing Remorse"
"270","Masatoshi Ota","Mono-Red Aggro","0","1","Deck
2 Arni Brokenbrow
4 Frost Bite
4 Bonecrusher Giant
4 Fireblade Charger
4 Anax, Hardened in the Forge
4 Robber of the Rich
4 Rimrock Knight
4 Fervent Champion
4 Embercleave
2 Torbran, Thane of Red Fell
2 Castle Embereth
4 Faceless Haven
18 Snow-Covered Mountain

Sideboard
2 Embereth Paladin
2 The Akroan War
4 Claim the Firstborn
3 Roiling Vortex
3 Phoenix of Ash
1 Ox of Agonas"
